ROK,WEB_PUBL_DATE,MENA,R1_AREA,R1_POPIS_LNG,S1_POPIS_LNG,H_HODNOTA_PUBL
2016,2018-03-16 10:00:00,CZK,KR,South Korea,Other capital,12971.152
2016,2018-03-16 10:00:00,EUR,KR,South Korea,Other capital,480.057438934123
2016,2018-03-16 10:00:00,USD,KR,South Korea,Other capital,505.914895276727
2017,2019-03-15 10:00:00,CZK,KR,South Korea,Other capital,13305.116
2017,2019-03-15 10:00:00,EUR,KR,South Korea,Other capital,520.952075176194
2017,2019-03-15 10:00:00,USD,KR,South Korea,Other capital,624.917382931755
2018,2020-03-13 10:00:00,CZK,KR,South Korea,Other capital,13547.14
2018,2020-03-13 10:00:00,EUR,KR,South Korea,Other capital,526.613799805637
2018,2020-03-13 10:00:00,USD,KR,South Korea,Other capital,603.006320662334
2019,2021-03-16 10:00:00,CZK,KR,South Korea,Other capital,9192.011
2019,2021-03-16 10:00:00,EUR,KR,South Korea,Other capital,361.747776465958
2019,2021-03-16 10:00:00,USD,KR,South Korea,Other capital,406.348569912913
2020,2022-03-23 10:00:00,CZK,KR,South Korea,Other capital,9611.945
2020,2022-03-23 10:00:00,EUR,KR,South Korea,Other capital,366.239093160602
2020,2022-03-23 10:00:00,USD,KR,South Korea,Other capital,449.429326226212
2021,2023-03-23 10:00:00,CZK,KR,South Korea,Other capital,14027.994
2021,2023-03-23 10:00:00,EUR,KR,South Korea,Other capital,564.279726468222
2021,2023-03-23 10:00:00,USD,KR,South Korea,Other capital,639.059450594506
2014,2016-03-22 10:00:00,CZK,KR,South Korea,Sum,47369.208909
2014,2016-03-22 10:00:00,EUR,KR,South Korea,Sum,1708.53774243463
2014,2016-03-22 10:00:00,USD,KR,South Korea,Sum,2074.50332438469
2015,2017-03-21 10:00:00,CZK,KR,South Korea,Sum,60329.807166
2015,2017-03-21 10:00:00,EUR,KR,South Korea,Sum,2232.37029291397
2015,2017-03-21 10:00:00,USD,KR,South Korea,Sum,2430.30160997422
2016,2018-03-16 10:00:00,CZK,KR,South Korea,Sum,64412.115998
2016,2018-03-16 10:00:00,EUR,KR,South Korea,Sum,2383.86809763138
2016,2018-03-16 10:00:00,USD,KR,South Korea,Sum,2512.27099333047
2017,2019-03-15 10:00:00,CZK,KR,South Korea,Sum,72734.958511
2017,2019-03-15 10:00:00,EUR,KR,South Korea,Sum,2847.88404506656
2017,2019-03-15 10:00:00,USD,KR,South Korea,Sum,3416.23026212954
2018,2020-03-13 10:00:00,CZK,KR,South Korea,Sum,76846.51471
2018,2020-03-13 10:00:00,EUR,KR,South Korea,Sum,2987.23089251701
2018,2020-03-13 10:00:00,USD,KR,South Korea,Sum,3420.56951437728
2019,2021-03-16 10:00:00,CZK,KR,South Korea,Sum,85291.619704
2019,2021-03-16 10:00:00,EUR,KR,South Korea,Sum,3356.61628114915
2019,2021-03-16 10:00:00,USD,KR,South Korea,Sum,3770.46194704036
2020,2022-03-23 10:00:00,CZK,KR,South Korea,Sum,86894.1393578674
2020,2022-03-23 10:00:00,EUR,KR,South Korea,Sum,3310.88357240874
2020,2022-03-23 10:00:00,USD,KR,South Korea,Sum,4062.94194407198
2021,2023-03-23 10:00:00,CZK,KR,South Korea,Sum,101282.289737876
2021,2023-03-23 10:00:00,EUR,KR,South Korea,Sum,4074.10658639887
2021,2023-03-23 10:00:00,USD,KR,South Korea,Sum,4614.01711711885
2014,2016-03-22 10:00:00,CZK,SG,Singapore,Registered capital,1141.760708
2014,2016-03-22 10:00:00,EUR,SG,Singapore,Registered capital,41.1816305861136
2014,2016-03-22 10:00:00,USD,SG,Singapore,Registered capital,50.0026586669002
2015,2017-03-21 10:00:00,CZK,SG,Singapore,Registered capital,1278.96386
2015,2017-03-21 10:00:00,EUR,SG,Singapore,Registered capital,47.3252122109158
2015,2017-03-21 10:00:00,USD,SG,Singapore,Registered capital,51.5212640992588
2016,2018-03-16 10:00:00,CZK,SG,Singapore,Registered capital,5411.60192
2016,2018-03-16 10:00:00,EUR,SG,Singapore,Registered capital,200.281344189489
2016,2018-03-16 10:00:00,USD,SG,Singapore,Registered capital,211.069149342798
2017,2019-03-15 10:00:00,CZK,SG,Singapore,Registered capital,5919.82166
2017,2019-03-15 10:00:00,EUR,SG,Singapore,Registered capital,231.786282693814
2017,2019-03-15 10:00:00,USD,SG,Singapore,Registered capital,278.043382649946
2018,2020-03-13 10:00:00,CZK,SG,Singapore,Registered capital,4168.54318
2018,2020-03-13 10:00:00,EUR,SG,Singapore,Registered capital,162.042494849368
2018,2020-03-13 10:00:00,USD,SG,Singapore,Registered capital,185.548970889344
2019,2021-03-16 10:00:00,CZK,SG,Singapore,Registered capital,4167.172
2019,2021-03-16 10:00:00,EUR,SG,Singapore,Registered capital,163.997323888233
2019,2021-03-16 10:00:00,USD,SG,Singapore,Registered capital,184.21696653552
2020,2022-03-23 10:00:00,CZK,SG,Singapore,Registered capital,4426.291
2020,2022-03-23 10:00:00,EUR,SG,Singapore,Registered capital,168.652733854067
2020,2022-03-23 10:00:00,USD,SG,Singapore,Registered capital,206.961752466452
2021,2023-03-23 10:00:00,CZK,SG,Singapore,Registered capital,4528.10686
2021,2023-03-23 10:00:00,EUR,SG,Singapore,Registered capital,182.144282381335
2021,2023-03-23 10:00:00,USD,SG,Singapore,Registered capital,206.282486447087
2014,2016-03-22 10:00:00,CZK,SG,Singapore,Reinvestment of earnings,227.84784
2014,2016-03-22 10:00:00,EUR,SG,Singapore,Reinvestment of earnings,8.21813669972949
2014,2016-03-22 10:00:00,USD,SG,Singapore,Reinvestment of earnings,9.97844617675396
2015,2017-03-21 10:00:00,CZK,SG,Singapore,Reinvestment of earnings,612.756069
2015,2017-03-21 10:00:00,EUR,SG,Singapore,Reinvestment of earnings,22.6736750786309
2015,2017-03-21 10:00:00,USD,SG,Singapore,Reinvestment of earnings,24.6840182484692
2016,2018-03-16 10:00:00,CZK,SG,Singapore,Reinvestment of earnings,859.631415
2016,2018-03-16 10:00:00,EUR,SG,Singapore,Reinvestment of earnings,31.8146341598816
2016,2018-03-16 10:00:00,USD,SG,Singapore,Reinvestment of earnings,33.5282739186396
