"","year","country.x","gp","npos","nneg","nneu","nmention","log_senti","add_senti","import","export","merleg","eu","n_merleg","n_import","n_export","leftright","valasztasi_ev"
"190","2007","Czechia","FR",57,12,60,129,1.52605630349505,0.348837209302326,5357723.159,6515459.981,1157736.822,1,-0.281451519513897,1.02359334827945,0.352582514020654,1,0
"191","2007","Czechia","RU",115,70,148,333,0.493657820143625,0.135135135135135,5624593.417,2861906.788,-2762686.629,1,-0.811531831344311,0.564550506286671,0.178511590612606,1,0
"192","2007","Czechia","CN",21,13,9,43,0.465363249689233,0.186046511627907,9193963.453,696676.527,-8497286.926,1,0.136777641363768,-0.155480758395233,-0.332124600675397,1,0
"193","2007","Czechia","UK",33,32,71,136,0.0303053494953288,0.00735294117647059,3187828.057,6081747.652,2893919.595,1,0.107459634037251,0.871821290395992,0.357533403117424,1,0
"194","2007","Hungary","DE",45,68,68,181,-0.409121419311275,-0.12707182320442,25396652,26824553,1427901,1,-0.546399552984054,0.73685463909828,0.578664173938993,0,0
"195","2007","Hungary","CN",14,9,22,45,0.422856850820034,0.111111111111111,5128096,1014446,-4113650,1,-0.606187057242222,0.418616592868166,-0.0605796255201577,0,0
"196","2007","Hungary","UK",31,21,22,74,0.38193461069797,0.135135135135135,2370712,4277574,1906862,1,0.314763420868124,1.62071167119477,0.765687274225431,0,0
"197","2007","Hungary","RU",62,26,50,138,0.858021823750179,0.260869565217391,6491158,2959936,-3531222,1,-0.582965153953964,0.825358178584328,1.06193540629332,0,0
"198","2007","Hungary","FR",38,9,65,112,1.39936644268724,0.258928571428571,4133376,4485675,352299,1,-0.182366576089922,0.80447058674723,0.561805201360279,0,0
"199","2007","Hungary","USA",34,25,110,169,0.302280871872934,0.0532544378698225,1528247,2206633,678386,1,0.110602546747451,-0.0499687392527563,0.0321184948066696,0,0
"200","2008","Croatia","USA",24,2,42,68,2.28238238567653,0.323529411764706,630448.829,351408.658,-279040.171,0,-1.346494286156,1.88327699602119,-0.131601770376054,1,0
"201","2008","Croatia","CN",17,1,8,26,2.4567357728213,0.615384615384615,1885833.301,35263.636,-1850569.665,0,-1.88478002358403,1.89703632539421,-0.639663194126086,1,0
